Guest_ID,Name,Frequent_Traveler,Date_Birth,Type,Flight_Class,Points,Room,Check-in/Check-out,F&B,Location,Wifi,Entertainment,Gym,Spa,Staff,Pool,Baggage_Handling,Reception,Cleanliness,Online_Booking,Deposit_Kept,Time_Room_Service,Repeater
19346,Mr. James Bond,1," July 1, 1991",Business travel,Eco,2695,3,5,5,5,2,3,3,4,2,3,3,3,3,3,187,20.2,0
21830,Mr. Christian Newman,1," January 25, 1964",Personal Travel,Eco,2057,2,1,2,4,3,2,3,3,2,5,3,4,3,3,0,1.2,0
17626,Miss Megan Welch,1," May 10, 2005",Personal Travel,Eco,1478,2,2,2,2,3,4,4,4,4,4,4,3,4,5,0,0,1
17988,Miss Carol Gibson,1," March 25, 1973",Business travel,Business,2304,3,1,1,1,3,3,3,1,2,4,4,3,2,3,147,15,0
16703,Mrs. Jessica Tucker,1," May 29, 1969",Business travel,Eco,73,3,3,3,3,1,2,4,3,3,3,3,4,3,3,6,1,1
15370,Mr. James Bell,0,,Business travel,Eco,2005,3,3,3,2,3,3,4,3,2,4,2,2,5,3,0,0,0
22257,Mr. Nicholas Mathis,1," March 31, 1965",Business travel,Business,1917,1,1,1,1,4,4,4,5,5,5,5,3,5,3,59,4.4,1
20565,Mrs. Sue Vaughan,1," July 11, 1982",Business travel,Eco,1549,5,2,2,2,5,5,5,5,4,1,3,4,1,5,0,0,1
12935,Mr. Robert Langdon,1," September 24, 1972",Business travel,Eco Plus,1399,4,5,5,5,4,4,4,4,4,2,1,4,1,4,0,0,1
13236,Mrs. Amelia Poole,1," July 26, 1978",Personal Travel,Eco,1859,3,4,3,1,3,5,5,4,3,5,5,5,5,5,253,24.5,0
14717,Mr. Keith Forsyth,1," April 21, 1980",Personal Travel,Eco Plus,2427,2,5,2,4,1,2,1,1,5,4,4,5,5,1,5,0,0
19784,Mrs. Una Paige,1," June 21, 1980",Business travel,Business,3630,3,3,5,3,2,5,4,3,3,4,3,4,3,4,0,0,1
17538,Mrs. Lauren Arnold,1," January 17, 1975",Business travel,Eco,523,4,2,5,2,4,1,4,4,4,4,4,2,4,5,0,0,1
21554,Mrs. Joanne Hunter,1," July 7, 1981",Business travel,Business,1381,3,2,2,2,2,4,4,3,3,4,3,3,3,3,85,6.4,0
21580,Mrs. Zoe Parr,1," July 4, 1973",Personal Travel,Eco,1825,3,3,3,3,2,5,5,4,4,5,4,3,4,5,0,0,1
15878,Mr. Sean Knox,1," August 31, 1983",Business travel,Eco,2307,2,1,1,1,2,2,2,2,1,1,2,2,3,2,23,4.5,0
11865,Mr. Oliver Lyman,1," August 4, 1963",Personal Travel,Eco,2509,3,5,3,3,2,3,2,2,5,5,5,4,4,2,0,0,0
20020,Miss Jennifer Fisher,1," June 15, 1997",Personal Travel,Eco,1659,1,1,1,1,5,3,3,4,4,4,4,1,4,4,2,0,1
